rpdzkj@95:~/fourth/loh95/testRecord$ iperf3 -s -i 60
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.1.169, port 56888
[  5] local 192.168.1.95 port 5201 connected to 192.168.1.169 port 46409
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5] 5160.00-5220.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  13/4947494 (0.00026%)
[  5] 5220.00-5280.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  0/4951505 (0%)
[  5] 5280.00-5340.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  537/4951759 (0.011%)
[  5] 5340.00-5400.00 sec  6.68 GBytes   956 Mbits/sec  0.014 ms  0/4952819 (0%)
[  5] 5400.00-5460.00 sec  6.67 GBytes   956 Mbits/sec  0.016 ms  0/4949386 (0%)
[  5] 5460.00-5520.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  0/4947697 (0%)
[  5] 5520.00-5580.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  127/4947466 (0.0026%)
[  5] 5580.00-5640.00 sec  6.68 GBytes   956 Mbits/sec  0.018 ms  236/4950822 (0.0048%)
[  5] 5640.00-5700.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  297/4950629 (0.006%)
[  5] 5700.00-5760.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  220/4952618 (0.0044%)
[  5] 5760.00-5820.00 sec  6.68 GBytes   956 Mbits/sec  0.027 ms  186/4952903 (0.0038%)
[  5] 5820.00-5880.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  0/4948548 (0%)
[  5] 5880.00-5940.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  114/4945412 (0.0023%)
[  5] 5940.00-6000.00 sec  6.66 GBytes   954 Mbits/sec  0.016 ms  242/4940812 (0.0049%)
[  5] 6000.00-6060.00 sec  6.67 GBytes   954 Mbits/sec  0.026 ms  10/4943558 (0.0002%)
[  5] 6060.00-6120.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  0/4945350 (0%)
[  5] 6120.00-6180.00 sec  6.67 GBytes   954 Mbits/sec  0.017 ms  220/4942878 (0.0045%)
[  5] 6180.00-6240.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  145/4945320 (0.0029%)
[  5] 6240.00-6300.00 sec  6.67 GBytes   955 Mbits/sec  0.014 ms  129/4947478 (0.0026%)
[  5] 6300.00-6360.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  23/4948859 (0.00046%)
[  5] 6360.00-6420.00 sec  6.68 GBytes   956 Mbits/sec  0.014 ms  367/4950990 (0.0074%)
[  5] 6420.00-6480.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  217/4948619 (0.0044%)
[  5] 6480.00-6540.00 sec  6.67 GBytes   956 Mbits/sec  0.017 ms  125/4949561 (0.0025%)
[  5] 6540.00-6600.00 sec  6.67 GBytes   954 Mbits/sec  0.016 ms  113/4943351 (0.0023%)
[  5] 6600.00-6660.00 sec  6.67 GBytes   955 Mbits/sec  0.024 ms  128/4946755 (0.0026%)
[  5] 6660.00-6720.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  323/4946129 (0.0065%)
[  5] 6720.00-6780.00 sec  6.67 GBytes   954 Mbits/sec  0.014 ms  127/4943932 (0.0026%)
[  5] 6780.00-6840.00 sec  6.67 GBytes   954 Mbits/sec  0.015 ms  125/4942938 (0.0025%)
[  5] 6840.00-6900.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  0/4945590 (0%)
[  5] 6900.00-6960.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  459/4953087 (0.0093%)
[  5] 6960.00-7020.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  0/4950578 (0%)
[  5] 7020.00-7080.00 sec  6.68 GBytes   956 Mbits/sec  0.019 ms  0/4950653 (0%)
[  5] 7080.00-7140.00 sec  6.67 GBytes   955 Mbits/sec  0.012 ms  15/4944916 (0.0003%)
[  5] 7140.00-7200.00 sec  6.67 GBytes   954 Mbits/sec  0.023 ms  696/4944416 (0.014%)
[  5] 7200.00-7260.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  0/4948705 (0%)
[  5] 7260.00-7320.00 sec  6.67 GBytes   955 Mbits/sec  0.024 ms  0/4943968 (0%)
[  5] 7320.00-7380.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4946292 (0%)
[  5] 7380.00-7440.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  125/4946022 (0.0025%)
[  5] 7440.00-7500.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  81/4945733 (0.0016%)
